use cuda: True
Namespace(name='acm', k=None, lr=0.001, n_clusters=3, n_z=10, pretrain_path='data/acm.pkl', cuda=True, n_input=1870)
SDCN(
  (ae): AE(
    (enc_1): Linear(in_features=1870, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=1870, bias=True)
  )
  (gnn_1): GNNLayer()
  (gnn_2): GNNLayer()
  (gnn_3): GNNLayer()
  (gnn_4): GNNLayer()
  (gnn_5): GNNLayer()
)
70Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
70Z :acc 0.8893 , nmi 0.6423 , ari 0.7014 , f1 0.8890
70P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
71Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
71Z :acc 0.8856 , nmi 0.6425 , ari 0.6945 , f1 0.8852
71P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
72Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
72Z :acc 0.8873 , nmi 0.6401 , ari 0.6970 , f1 0.8868
72P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
73Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
73Z :acc 0.8846 , nmi 0.6372 , ari 0.6914 , f1 0.8840
73P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
74Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
74Z :acc 0.8856 , nmi 0.6416 , ari 0.6944 , f1 0.8851
74P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
75Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
75Z :acc 0.8886 , nmi 0.6404 , ari 0.6996 , f1 0.8883
75P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
76Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
76Z :acc 0.8846 , nmi 0.6440 , ari 0.6928 , f1 0.8838
76P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
77Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
77Z :acc 0.8906 , nmi 0.6446 , ari 0.7042 , f1 0.8902
77P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
78Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
78Z :acc 0.8860 , nmi 0.6435 , ari 0.6954 , f1 0.8855
78P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
79Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
79Z :acc 0.8899 , nmi 0.6459 , ari 0.7032 , f1 0.8895
79P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
80Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
80Z :acc 0.8893 , nmi 0.6451 , ari 0.7018 , f1 0.8886
80P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
81Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
81Z :acc 0.8853 , nmi 0.6443 , ari 0.6943 , f1 0.8848
81P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
82Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
82Z :acc 0.8893 , nmi 0.6419 , ari 0.7012 , f1 0.8890
82P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
83Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
83Z :acc 0.8850 , nmi 0.6398 , ari 0.6925 , f1 0.8841
83P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
84Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
84Z :acc 0.8853 , nmi 0.6403 , ari 0.6932 , f1 0.8846
84P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
85Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
85Z :acc 0.8919 , nmi 0.6475 , ari 0.7074 , f1 0.8918
85P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
86Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
86Z :acc 0.8830 , nmi 0.6391 , ari 0.6887 , f1 0.8822
86P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
87Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
87Z :acc 0.8873 , nmi 0.6388 , ari 0.6967 , f1 0.8867
87P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
88Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
88Z :acc 0.8889 , nmi 0.6468 , ari 0.7015 , f1 0.8885
88P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
89Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
89Z :acc 0.8896 , nmi 0.6453 , ari 0.7024 , f1 0.8893
89P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
90Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
90Z :acc 0.8896 , nmi 0.6452 , ari 0.7024 , f1 0.8891
90P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
91Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
91Z :acc 0.8856 , nmi 0.6442 , ari 0.6947 , f1 0.8848
91P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
92Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
92Z :acc 0.8906 , nmi 0.6452 , ari 0.7043 , f1 0.8905
92P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
93Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
93Z :acc 0.8896 , nmi 0.6500 , ari 0.7033 , f1 0.8893
93P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
94Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
94Z :acc 0.8883 , nmi 0.6423 , ari 0.6993 , f1 0.8877
94P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
95Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
95Z :acc 0.8893 , nmi 0.6460 , ari 0.7018 , f1 0.8887
95P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
96Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
96Z :acc 0.8909 , nmi 0.6499 , ari 0.7059 , f1 0.8907
96P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
97Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
97Z :acc 0.8909 , nmi 0.6482 , ari 0.7056 , f1 0.8906
97P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
98Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
98Z :acc 0.8836 , nmi 0.6417 , ari 0.6903 , f1 0.8828
98P :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
99Q :acc 0.8681 , nmi 0.5901 , ari 0.6500 , f1 0.8672
99Z :acc 0.8932 , nmi 0.6514 , ari 0.7107 , f1 0.8930
